subscriber_number,dr_id,transaction_timestamp,transaction_type,transaction_code,transaction_amount,origin_operator_id,service_class,account_flag_before,account_flag_after,account_group_id,dedicated_account_id,dedicated_account_amount,ada_account_expiry_date_after,product_id,package_id,origin_transaction_id_for_ovi_store,origin_operator_id_for_ovi_store,origin_host_name,lifecycle,promo_indicator,ci_channel_id,file_type,debit_amount,balance_after_deduction,success_code,bd_ingestion_timestamp,partition_transaction_date
8ySmk8EywRlta7jz6YdwWQ==,NULL,20210704 22:35:25,DEB,ECOFEES,-0.01,Unknown,723,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/5/2021 1:22,7/4/2021
IaeDjuODU21rvFA355yU9A==,NULL,20210728 07:00:24,STAMPTXADJ,DEB,0,NULL,455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_serv_fees,2.0067,0,4,7/29/2021 13:27,7/28/2021
mNhndwGP5ywX5Z78rRkmzg==,NULL,20210706 23:50:51,DEB,ECOFEES,-0.01,Unknown,1453,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/8/2021 1:12,7/6/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210716 00:34:34,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,332796,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/17/2021 1:21,7/16/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210707 00:43:46,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,473223,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/8/2021 1:12,7/7/2021
Qnig2waEGtW6FmPUq8bE1w==,NULL,20210715 18:43:55,DEB,ECOFEES,-0.01,Unknown,719,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/16/2021 4:31,7/15/2021
mNhndwGP5ywX5Z78rRkmzg==,NULL,20210711 00:35:32,NULL,NULL,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,452022,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/12/2021 1:14,7/11/2021
C9qe2ud+VXX2sU+e6U55Ew==,NULL,20210727 00:24:46,NULL,NULL,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210704 00:43:37,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,473327,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/5/2021 1:22,7/4/2021
foQv8xTsE7ZIv6Fj1MP+yg==,1.21E+37,20210716 00:06:34,DEB,MIONBILLIM-CLR,NULL,RMD-SDP-94A,6172,NULL,NULL,NULL,68,0,NULL,NULL,NULL,2.02E+34,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/17/2021 1:21,7/16/2021
