recharge_time,cal_recharge_amount,recharge_type,recharge_key,total_recharge_value,total_ded_account_value,ded_as_main,ci_grouping,bundle_value,card_group,recharge_channel,source,mobile_number,bd_ingestion_timestamp,partition_transaction_date
172844,10,Main,1.21E+36,10,0,0,ControlConsumer,NULL,F1,E-TOPUP,payment,L0KukaCxIf6WfOynXo4h7Q==,7/18/2021 23:02,7/18/2021
50955,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,NF9B,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/10/2021 23:04,7/10/2021
122002,7,Main,1.21E+36,7,0,0,ControlConsumer,NULL,5D,E-TOPUP,payment,L0KukaCxIf6WfOynXo4h7Q==,7/11/2021 23:03,7/11/2021
23656,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,NF9F,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/20/2021 23:03,7/20/2021
182827,7,Main,1.21E+36,7,0,0,PrepaidConsumer,NULL,5D,E-TOPUP,payment,Qnig2waEGtW6FmPUq8bE1w==,7/3/2021 23:02,7/3/2021
20049,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,NF9N,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/8/2021 23:03,7/8/2021
5648,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,N9FP,voucher,pcr,mNhndwGP5ywX5Z78rRkmzg==,7/23/2021 23:02,7/23/2021
132943,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,NF9N,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/28/2021 23:03,7/28/2021
21035,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,NF9T,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/11/2021 23:03,7/11/2021
131307,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,N9FP,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/18/2021 23:04,7/18/2021
132059,4.25,Fakka,2.02E+36,48,48,0,ControlConsumer,4.25,NF0P,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/31/2021 23:14,7/31/2021
121455,4.25,Fakka,2.02E+36,48,48,0,ControlConsumer,4.25,NF0N,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/27/2021 23:12,7/27/2021
123133,4.25,Fakka,2.02E+36,48,48,0,ControlConsumer,4.25,NF0N,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/3/2021 23:03,7/3/2021
215511,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,N9FP,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/13/2021 23:03,7/13/2021
202856,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,N9FP,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/1/2021 23:02,7/1/2021
103827,35,Main,2.02E+36,35,0,0,PrepaidConsumer,NULL,CF,voucher,pcr,Qnig2waEGtW6FmPUq8bE1w==,7/21/2021 23:04,7/21/2021
182656,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,NF9T,voucher,pcr,mNhndwGP5ywX5Z78rRkmzg==,7/25/2021 23:04,7/25/2021
194322,7,Main,2.02E+36,7,0,0,ControlConsumer,NULL,RC2N,voucher,pcr,/G+KCURIm0S20VgnABOL9Q==,7/20/2021 23:03,7/20/2021
194355,7,Main,2.02E+36,7,0,0,ControlConsumer,NULL,RC2N,voucher,pcr,/G+KCURIm0S20VgnABOL9Q==,7/20/2021 23:03,7/20/2021
185012,10.5,Main,2.02E+36,10.5,0,0,ControlConsumer,NULL,T015,voucher,pcr,mNhndwGP5ywX5Z78rRkmzg==,7/18/2021 23:04,7/18/2021
210103,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,N9FP,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/5/2021 23:05,7/5/2021
213015,4.25,Fakka,2.02E+36,48,48,0,ControlConsumer,4.25,NF0P,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/2/2021 23:03,7/2/2021
202903,10.5,Main,2.02E+36,10.5,0,0,ControlConsumer,NULL,R55C,voucher,pcr,mNhndwGP5ywX5Z78rRkmzg==,7/5/2021 23:05,7/5/2021
194538,7,Main,2.02E+36,7,0,0,ControlConsumer,NULL,RC2N,voucher,pcr,/G+KCURIm0S20VgnABOL9Q==,7/20/2021 23:03,7/20/2021
193345,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,NF9N,voucher,pcr,mNhndwGP5ywX5Z78rRkmzg==,7/9/2021 23:03,7/9/2021
234238,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,N9FP,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/31/2021 23:14,7/31/2021
231921,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,NF9N,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/8/2021 23:03,7/8/2021
174841,8,Fakka,2.02E+36,82,82,0,ControlConsumer,8,N9FP,voucher,pcr,1E/lRM+T4lTB/971N/fB4w==,7/22/2021 23:02,7/22/2021
194443,10.5,Main,2.02E+36,10.5,0,0,ControlConsumer,NULL,CN,voucher,pcr,/G+KCURIm0S20VgnABOL9Q==,7/20/2021 23:03,7/20/2021
174913,3.5,Main,1.21E+36,3.5,0,0,PrepaidConsumer,NULL,5D1,E-TOPUP,payment,Qnig2waEGtW6FmPUq8bE1w==,7/31/2021 23:09,7/31/2021
